,product_category_name_english,price,product_id
112233,computers,6729.0,69c590f7ffc7bf8db97190b6cb6ed62e
62086,computers,4590.0,259037a6a41845e455183f89c5035f18
98567,computers,3549.0,5e954c4ed342c50436d25d5f50a34919
25648,computers,3399.99,34f99d82cfc355d08d8db780d14aa002
4850,computers,2999.99,34f99d82cfc355d08d8db780d14aa002
79886,computers,2199.99,1fa728d99803c8849b5c95cfeaf9b60c
84385,computers,1649.99,d6160fb7873f184099d9bc95e30376af
92387,computers,1599.99,d6160fb7873f184099d9bc95e30376af
97199,computers,1599.99,588531f8ec37e7d5ff5b7b22ea0488f8
73372,computers,1599.99,bc4cd4da98dd128c39bf0b8c2674032f
42532,computers,1549.99,d6160fb7873f184099d9bc95e30376af
57125,computers,1437.0,588531f8ec37e7d5ff5b7b22ea0488f8
89374,computers,1399.9,d6160fb7873f184099d9bc95e30376af
11917,computers,1390.0,e56f102e763165e7e32d0f9955f8ee4a
12209,computers,1349.99,d6160fb7873f184099d9bc95e30376af
46347,computers,1340.0,a5215a7a9f46c4185b12f38e9ddf2abc
6330,computers,1300.0,bc4cd4da98dd128c39bf0b8c2674032f
4477,computers,1300.0,d6160fb7873f184099d9bc95e30376af
61320,computers,1300.0,588531f8ec37e7d5ff5b7b22ea0488f8
58670,computers,1299.9,d6160fb7873f184099d9bc95e30376af
107973,computers,1299.9,bc4cd4da98dd128c39bf0b8c2674032f
2604,computers,1200.0,bc4cd4da98dd128c39bf0b8c2674032f
47143,computers,1200.0,d6160fb7873f184099d9bc95e30376af
23819,computers,1200.0,a5215a7a9f46c4185b12f38e9ddf2abc
79368,computers,1200.0,f3783ff90631773bc67baf91edcbcb69
4133,computers,1200.0,588531f8ec37e7d5ff5b7b22ea0488f8
84370,computers,1200.0,9aedf557945e816d48539ee56293f860
90111,computers,1199.9,a5215a7a9f46c4185b12f38e9ddf2abc
39667,computers,1100.0,9aedf557945e816d48539ee56293f860
11984,computers,1100.0,a5215a7a9f46c4185b12f38e9ddf2abc
25260,computers,899.0,194e74feac1f84a8ee5a517d4b3e107a
60250,computers,850.0,fb8c11da2e1b1634e879d1c3c6762dc2
23137,computers,850.0,b0fd001716da5648244fe5c374d03df8
13239,computers,849.99,caaa713799b547352795c831a14f1c3c
99266,computers,790.0,b008888e5e01a5c9da36306228e900d1
7256,computers,790.0,a04087ab6a96ffa041f8a2701a72b616
102785,computers,770.0,194e74feac1f84a8ee5a517d4b3e107a
4419,computers,730.0,e004a3b7f9524967fdb68bb70f850eb0
56903,computers,730.0,1f411e9a31196b71ed8438c8254b858e
94103,computers,730.0,6e135c0c17d87c489e2f89efe42b948a
73764,computers,730.0,4e11734666acc305a4649de43f0bd181
48227,computers,730.0,6e263657e75994ff623356f9cff692db
16338,computers,670.0,a04087ab6a96ffa041f8a2701a72b616
15897,computers,659.0,6e263657e75994ff623356f9cff692db
41869,computers,650.0,a04087ab6a96ffa041f8a2701a72b616
51577,computers,650.0,7446ea3b3fb292b92d443f6a340bb372
57939,computers,640.0,4e11734666acc305a4649de43f0bd181
5991,computers,619.99,1f411e9a31196b71ed8438c8254b858e
92671,computers,599.0,a04087ab6a96ffa041f8a2701a72b616
58810,computers,599.0,1e5428c428e0f783acd6e3d94ba4ee2a
85649,computers,599.0,7c8e2b381bb0fcba5b368961d7823cd2
73831,computers,599.0,7446ea3b3fb292b92d443f6a340bb372
15469,computers,599.0,4e11734666acc305a4649de43f0bd181
91438,computers,580.0,437c27398475365e3103e091ce518c6f
89127,computers,560.0,e4d6002d3e034177ea1f31aa222cc722
67768,computers,530.0,2fde77c0db49f38e0c0b2065f984f452
51748,computers,34.5,65f37bbbadf973d2660dc911af121406
